Enfermedad,Sintoma_1,Sintoma_2,Sintoma_3,Sintoma_4,Sintoma_5,Sintoma_6,Sintoma_7,Sintoma_8,Sintoma_9,Sintoma_10,Sintoma_11,Sintoma_12,Sintoma_13,Sintoma_14,Sintoma_15,Sintoma_16,Sintoma_17
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,
Hepatitis B,picazón,fatiga,letargo,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,
Hepatitis C,fatiga,piel amarillenta,náuseas,pérdida de apetito,coloración amarilla de los ojos,antecedentes familiares,,,,,,,,,,,
Hepatitis D,dolor articular,vómitos,fatiga,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,
Hepatitis E,dolor articular,vómitos,fatiga,fiebre alta,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,insuficiencia hepática aguda,coma,sangrado estomacal,,,,
Hepatitis alcohólica,vómitos,piel amarillenta,dolor abdominal,hinchazón del estómago,distensión abdominal,antecedentes de consumo de alcohol,sobrecarga de líquidos,,,,,,,,,,
Tuberculosis,escalofríos,vómitos,fatiga,pérdida de peso,tos,fiebre alta,dificultad para respirar,sudoración,pérdida de apetito,fiebre leve,coloración amarilla de los ojos,ganglios linfáticos inflamados,malestar general,flema,dolor en el pecho,sangre en el esputo,
Resfriado común,estornudos continuos,escalofríos,fatiga,tos,fiebre alta,dolor de cabeza,ganglios linfáticos inflamados,malestar general,flema,irritación de garganta,enrojecimiento de los ojos,presión en los senos paranasales,secreción nasal,congestión,dolor en el pecho,pérdida del olfato,dolor muscular
Neumonía,escalofríos,fatiga,tos,fiebre alta,dificultad para respirar,sudoración,malestar general,flema,dolor en el pecho,ritmo cardíaco acelerado,esputo oxidado,,,,,,
Hemorroides,estreñimiento,dolor durante la evacuación,dolor en la región anal,heces con sangre,irritación en el ano,,,,,,,,,,,,
Infarto cardíaco,vómitos,dificultad para respirar,sudoración,dolor en el pecho,,,,,,,,,,,,,
Várices,fatiga,calambres,moretones,obesidad,piernas hinchadas,vasos sanguíneos hinchados,venas prominentes en la pantorrilla,,,,,,,,,,
Hipotiroidismo,fatiga,aumento de peso,manos y pies fríos,cambios de humor,letargo,mareos,cara y ojos hinchados,tiroides agrandada,uñas quebradizas,extremidades hinchadas,depresión,irritabilidad,menstruación anormal,,,,
Hipertiroidismo,fatiga,cambios de humor,pérdida de peso,inquietud,sudoración,diarrea,ritmo cardíaco acelerado,hambre excesiva,debilidad muscular,irritabilidad,menstruación anormal,,,,,,
Hipoglucemia,vómitos,fatiga,ansiedad,sudoración,dolor de cabeza,náuseas,visión borrosa y distorsionada,hambre excesiva,sequedad y hormigueo en los labios,habla arrastrada,irritabilidad,palpitaciones,,,,,
Osteoartritis,dolor articular,dolor de cuello,dolor de rodilla,dolor en la articulación de la cadera,articulaciones hinchadas,dolor al caminar,,,,,,,,,,,
Artritis,debilidad muscular,rigidez en el cuello,articulaciones hinchadas,rigidez al movimiento,dolor al caminar,,,,,,,,,,,,
Vértigo posicional paroxístico,vómitos,dolor de cabeza,náuseas,sensación de giro,pérdida de equilibrio,inestabilidad,,,,,,,,,,,
Acné,erupción en la piel,granos con pus,puntos negros,costras,,,,,,,,,,,,,
Infección urinaria,ardor al orinar,molestia en la vejiga,mal olor de la orina,sensación continua de orinar,,,,,,,,,,,,,
Psoriasis,erupción en la piel,dolor articular,descamación de la piel,descamación plateada,pequeñas hendiduras en las uñas,uñas inflamadas,,,,,,,,,,,
Impétigo,erupción en la piel,fiebre alta,ampolla,lesión roja alrededor de la nariz,secreción con costra amarilla,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,escalofríos,lagrimeo,,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,vómitos,tos,dolor en el pecho,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,
Hepatitis B,picazón,fatiga,letargo,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,
Hepatitis C,fatiga,piel amarillenta,náuseas,pérdida de apetito,coloración amarilla de los ojos,antecedentes familiares,,,,,,,,,,,
Hepatitis D,dolor articular,vómitos,fatiga,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,
Hepatitis E,dolor articular,vómitos,fatiga,fiebre alta,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,insuficiencia hepática aguda,coma,sangrado estomacal,,,,
Hepatitis alcohólica,vómitos,piel amarillenta,dolor abdominal,hinchazón del estómago,distensión abdominal,antecedentes de consumo de alcohol,sobrecarga de líquidos,,,,,,,,,,
Tuberculosis,escalofríos,vómitos,fatiga,pérdida de peso,tos,fiebre alta,dificultad para respirar,sudoración,pérdida de apetito,fiebre leve,coloración amarilla de los ojos,ganglios linfáticos inflamados,malestar general,flema,dolor en el pecho,sangre en el esputo,
Resfriado común,estornudos continuos,escalofríos,fatiga,tos,fiebre alta,dolor de cabeza,ganglios linfáticos inflamados,malestar general,flema,irritación de garganta,enrojecimiento de los ojos,presión en los senos paranasales,secreción nasal,congestión,dolor en el pecho,pérdida del olfato,dolor muscular
Neumonía,escalofríos,fatiga,tos,fiebre alta,dificultad para respirar,sudoración,malestar general,flema,dolor en el pecho,ritmo cardíaco acelerado,esputo oxidado,,,,,,
Hemorroides,estreñimiento,dolor durante la evacuación,dolor en la región anal,heces con sangre,irritación en el ano,,,,,,,,,,,,
Infarto cardíaco,vómitos,dificultad para respirar,sudoración,dolor en el pecho,,,,,,,,,,,,,
Várices,fatiga,calambres,moretones,obesidad,piernas hinchadas,vasos sanguíneos hinchados,venas prominentes en la pantorrilla,,,,,,,,,,
Hipotiroidismo,fatiga,aumento de peso,manos y pies fríos,cambios de humor,letargo,mareos,cara y ojos hinchados,tiroides agrandada,uñas quebradizas,extremidades hinchadas,depresión,irritabilidad,menstruación anormal,,,,
Hipertiroidismo,fatiga,cambios de humor,pérdida de peso,inquietud,sudoración,diarrea,ritmo cardíaco acelerado,hambre excesiva,debilidad muscular,irritabilidad,menstruación anormal,,,,,,
Hipoglucemia,vómitos,fatiga,ansiedad,sudoración,dolor de cabeza,náuseas,visión borrosa y distorsionada,hambre excesiva,sequedad y hormigueo en los labios,habla arrastrada,irritabilidad,palpitaciones,,,,,
Osteoartritis,dolor articular,dolor de cuello,dolor de rodilla,dolor en la articulación de la cadera,articulaciones hinchadas,dolor al caminar,,,,,,,,,,,
Artritis,debilidad muscular,rigidez en el cuello,articulaciones hinchadas,rigidez al movimiento,dolor al caminar,,,,,,,,,,,,
Vértigo posicional paroxístico,vómitos,dolor de cabeza,náuseas,sensación de giro,pérdida de equilibrio,inestabilidad,,,,,,,,,,,
Acné,erupción en la piel,granos con pus,puntos negros,costras,,,,,,,,,,,,,
Infección urinaria,ardor al orinar,molestia en la vejiga,mal olor de la orina,sensación continua de orinar,,,,,,,,,,,,,
Psoriasis,erupción en la piel,dolor articular,descamación de la piel,descamación plateada,pequeñas hendiduras en las uñas,uñas inflamadas,,,,,,,,,,,
Impétigo,erupción en la piel,fiebre alta,ampolla,lesión roja alrededor de la nariz,secreción con costra amarilla,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,escalofríos,lagrimeo,,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,vómitos,tos,dolor en el pecho,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,
Hepatitis B,picazón,fatiga,letargo,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,
Hepatitis C,fatiga,piel amarillenta,náuseas,pérdida de apetito,coloración amarilla de los ojos,antecedentes familiares,,,,,,,,,,,
Hepatitis D,dolor articular,vómitos,fatiga,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,
Hepatitis E,dolor articular,vómitos,fatiga,fiebre alta,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,insuficiencia hepática aguda,coma,sangrado estomacal,,,,
Hepatitis alcohólica,vómitos,piel amarillenta,dolor abdominal,hinchazón del estómago,distensión abdominal,antecedentes de consumo de alcohol,sobrecarga de líquidos,,,,,,,,,,
Tuberculosis,escalofríos,vómitos,fatiga,pérdida de peso,tos,fiebre alta,dificultad para respirar,sudoración,pérdida de apetito,fiebre leve,coloración amarilla de los ojos,ganglios linfáticos inflamados,malestar general,flema,dolor en el pecho,sangre en el esputo,
Resfriado común,estornudos continuos,escalofríos,fatiga,tos,fiebre alta,dolor de cabeza,ganglios linfáticos inflamados,malestar general,flema,irritación de garganta,enrojecimiento de los ojos,presión en los senos paranasales,secreción nasal,congestión,dolor en el pecho,pérdida del olfato,dolor muscular
Neumonía,escalofríos,fatiga,tos,fiebre alta,dificultad para respirar,sudoración,malestar general,flema,dolor en el pecho,ritmo cardíaco acelerado,esputo oxidado,,,,,,
Hemorroides,estreñimiento,dolor durante la evacuación,dolor en la región anal,heces con sangre,irritación en el ano,,,,,,,,,,,,
Infarto cardíaco,vómitos,dificultad para respirar,sudoración,dolor en el pecho,,,,,,,,,,,,,
Várices,fatiga,calambres,moretones,obesidad,piernas hinchadas,vasos sanguíneos hinchados,venas prominentes en la pantorrilla,,,,,,,,,,
Hipotiroidismo,fatiga,aumento de peso,manos y pies fríos,cambios de humor,letargo,mareos,cara y ojos hinchados,tiroides agrandada,uñas quebradizas,extremidades hinchadas,depresión,irritabilidad,menstruación anormal,,,,
Hipertiroidismo,fatiga,cambios de humor,pérdida de peso,inquietud,sudoración,diarrea,ritmo cardíaco acelerado,hambre excesiva,debilidad muscular,irritabilidad,menstruación anormal,,,,,,
Hipoglucemia,vómitos,fatiga,ansiedad,sudoración,dolor de cabeza,náuseas,visión borrosa y distorsionada,hambre excesiva,sequedad y hormigueo en los labios,habla arrastrada,irritabilidad,palpitaciones,,,,,
Osteoartritis,dolor articular,dolor de cuello,dolor de rodilla,dolor en la articulación de la cadera,articulaciones hinchadas,dolor al caminar,,,,,,,,,,,
Artritis,debilidad muscular,rigidez en el cuello,articulaciones hinchadas,rigidez al movimiento,dolor al caminar,,,,,,,,,,,,
Vértigo posicional paroxístico,vómitos,dolor de cabeza,náuseas,sensación de giro,pérdida de equilibrio,inestabilidad,,,,,,,,,,,
Acné,erupción en la piel,granos con pus,puntos negros,costras,,,,,,,,,,,,,
Infección urinaria,ardor al orinar,molestia en la vejiga,mal olor de la orina,sensación continua de orinar,,,,,,,,,,,,,
Psoriasis,erupción en la piel,dolor articular,descamación de la piel,descamación plateada,pequeñas hendiduras en las uñas,uñas inflamadas,,,,,,,,,,,
Impétigo,erupción en la piel,fiebre alta,ampolla,lesión roja alrededor de la nariz,secreción con costra amarilla,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,escalofríos,lagrimeo,,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,vómitos,tos,dolor en el pecho,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,
Hepatitis B,picazón,fatiga,letargo,piel amarillenta,orina oscura,pérdida de apetito,dolor abdominal,orina amarilla,coloración amarilla de los ojos,malestar general,recepción de transfusión de sangre,recepción de inyecciones no estériles,,,,,
Hepatitis C,fatiga,piel amarillenta,náuseas,pérdida de apetito,coloración amarilla de los ojos,antecedentes familiares,,,,,,,,,,,
Hepatitis D,dolor articular,vómitos,fatiga,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,
Hepatitis E,dolor articular,vómitos,fatiga,fiebre alta,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,insuficiencia hepática aguda,coma,sangrado estomacal,,,,
Hepatitis alcohólica,vómitos,piel amarillenta,dolor abdominal,hinchazón del estómago,distensión abdominal,antecedentes de consumo de alcohol,sobrecarga de líquidos,,,,,,,,,,
Tuberculosis,escalofríos,vómitos,fatiga,pérdida de peso,tos,fiebre alta,dificultad para respirar,sudoración,pérdida de apetito,fiebre leve,coloración amarilla de los ojos,ganglios linfáticos inflamados,malestar general,flema,dolor en el pecho,sangre en el esputo,
Resfriado común,estornudos continuos,escalofríos,fatiga,tos,fiebre alta,dolor de cabeza,ganglios linfáticos inflamados,malestar general,flema,irritación de garganta,enrojecimiento de los ojos,presión en los senos paranasales,secreción nasal,congestión,dolor en el pecho,pérdida del olfato,dolor muscular
Neumonía,escalofríos,fatiga,tos,fiebre alta,dificultad para respirar,sudoración,malestar general,flema,dolor en el pecho,ritmo cardíaco acelerado,esputo oxidado,,,,,,
Hemorroides,estreñimiento,dolor durante la evacuación,dolor en la región anal,heces con sangre,irritación en el ano,,,,,,,,,,,,
Infarto cardíaco,vómitos,dificultad para respirar,sudoración,dolor en el pecho,,,,,,,,,,,,,
Várices,fatiga,calambres,moretones,obesidad,piernas hinchadas,vasos sanguíneos hinchados,venas prominentes en la pantorrilla,,,,,,,,,,
Hipotiroidismo,fatiga,aumento de peso,manos y pies fríos,cambios de humor,letargo,mareos,cara y ojos hinchados,tiroides agrandada,uñas quebradizas,extremidades hinchadas,depresión,irritabilidad,menstruación anormal,,,,
Hipertiroidismo,fatiga,cambios de humor,pérdida de peso,inquietud,sudoración,diarrea,ritmo cardíaco acelerado,hambre excesiva,debilidad muscular,irritabilidad,menstruación anormal,,,,,,
Hipoglucemia,vómitos,fatiga,ansiedad,sudoración,dolor de cabeza,náuseas,visión borrosa y distorsionada,hambre excesiva,sequedad y hormigueo en los labios,habla arrastrada,irritabilidad,palpitaciones,,,,,
Osteoartritis,dolor articular,dolor de cuello,dolor de rodilla,dolor en la articulación de la cadera,articulaciones hinchadas,dolor al caminar,,,,,,,,,,,
Artritis,debilidad muscular,rigidez en el cuello,articulaciones hinchadas,rigidez al movimiento,dolor al caminar,,,,,,,,,,,,
Vértigo posicional paroxístico,vómitos,dolor de cabeza,náuseas,sensación de giro,pérdida de equilibrio,inestabilidad,,,,,,,,,,,
Acné,erupción en la piel,granos con pus,puntos negros,costras,,,,,,,,,,,,,
Infección urinaria,ardor al orinar,molestia en la vejiga,mal olor de la orina,sensación continua de orinar,,,,,,,,,,,,,
Psoriasis,erupción en la piel,dolor articular,descamación de la piel,descamación plateada,pequeñas hendiduras en las uñas,uñas inflamadas,,,,,,,,,,,
Impétigo,erupción en la piel,fiebre alta,ampolla,lesión roja alrededor de la nariz,secreción con costra amarilla,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,escalofríos,lagrimeo,,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,vómitos,tos,dolor en el pecho,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,
Gastroenteritis,vómitos,ojos hundidos,deshidratación,diarrea,,,,,,,,,,,,,
Asma bronquial,fatiga,tos,fiebre alta,dificultad para respirar,antecedentes familiares,esputo mucoso,,,,,,,,,,,
Hipertensión,dolor de cabeza,dolor en el pecho,mareos,pérdida de equilibrio,falta de concentración,,,,,,,,,,,,
Migraña,acidez,indigestión,dolor de cabeza,visión borrosa y distorsionada,hambre excesiva,rigidez en el cuello,depresión,irritabilidad,alteraciones visuales,,,,,,,,
Espondilosis cervical,dolor de espalda,debilidad en las extremidades,dolor de cuello,mareos,pérdida de equilibrio,,,,,,,,,,,,
Parálisis por hemorragia cerebral,vómitos,dolor de cabeza,debilidad de un lado del cuerpo,alteración del estado de conciencia,,,,,,,,,,,,,
Ictericia,picazón,vómitos,fatiga,pérdida de peso,fiebre alta,piel amarillenta,orina oscura,dolor abdominal,,,,,,,,,
Malaria,escalofríos,vómitos,fiebre alta,sudoración,dolor de cabeza,náuseas,diarrea,dolor muscular,,,,,,,,,
Varicela,picazón,erupción en la piel,fatiga,letargo,fiebre alta,dolor de cabeza,pérdida de apetito,fiebre leve,ganglios linfáticos inflamados,malestar general,manchas rojas en el cuerpo,,,,,,
Dengue,erupción en la piel,escalofríos,dolor articular,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,pérdida de apetito,dolor detrás de los ojos,dolor de espalda,malestar general,dolor muscular,manchas rojas en el cuerpo,,,
Fiebre tifoidea,escalofríos,vómitos,fatiga,fiebre alta,dolor de cabeza,náuseas,estreñimiento,dolor abdominal,diarrea,aspecto tóxico por fiebre tifoidea,dolor de vientre,,,,,,
Hepatitis A,dolor articular,vómitos,piel amarillenta,orina oscura,náuseas,pérdida de apetito,dolor abdominal,diarrea,fiebre leve,coloración amarilla de los ojos,dolor muscular,,,,,,
